index,prediction
0,2.63 inch
1,42 centimetre
2,200 centimetre
3,
4,
5,90 centimetre
6,10.5 centimetre
7,54 inch
8,15 centimetre
9,15 centimetre
10,
11,30.6 centimetre
12,4.3 inch
13,4.3 inch
14,4.3 inch
15,
16,100 kilogram
17,
18,3840 watt
19,240 volt
20,120 centimetre
21,38 inch
22,15 millilitre
23,32 centimetre
24,32 centimetre
25,3.8 inch
26,3.8 inch
27,330 gram
28,9.5 kilogram
29,2.62 pound
30,
31,
32,5.8 inch
33,5.8 inch
34,5.8 inch
35,3 pound
36,76.5 inch
37,640 volt
38,8 watt
39,5.4 inch
40,5.4 inch
41,9 inch
42,96 inch
43,96 inch
44,23.6 inch
45,5.8 inch
46,5.8 inch
47,5.8 inch
48,35 inch
49,90 centimetre
50,90 centimetre
51,
52,
53,5 inch
54,5 inch
55,96.52 centimetre
56,
57,5.4 inch
58,5.4 inch
59,
60,240 volt
61,69 gram
62,280 millimetre
63,280 millimetre
64,280 millimetre
65,3.7 volt
66,
67,151 inch
68,4.2 inch
69,4.2 inch
70,4.2 inch
71,23 centimetre
72,23 centimetre
73,23 centimetre
74,1500 watt
75,220 volt
76,4.7 inch
77,3.1 inch
78,
79,50 centimetre
80,2 kilogram
81,243 pound
82,11.1 pound
83,10 ounce
84,39 inch
85,39 inch
86,39 inch
87,
88,
89,
90,26 centimetre
91,200 pound
92,15.7 inch
93,23.95 inch
94,
95,14 centimetre
96,14 centimetre
97,9.6 volt
98,3.8 centimetre
99,4.33 inch
100,37 inch
101,59 millilitre
102,
103,62 centimetre
104,35 centimetre
105,7.5 centimetre
106,16 centimetre
107,23.6 inch
108,1 ounce
109,40 centimetre
110,8 centimetre
111,10 ounce
112,650 watt
113,
114,5500 gram
115,200 watt
116,1.05 ounce
117,5 gram
118,10 centimetre
119,10 centimetre
120,108 gram
121,31 centimetre
122,250 gram
123,660 pound
124,1 kilogram
125,
126,12 volt
127,191 centimetre
128,90 centimetre
129,7.8 pound
130,40 centimetre
131,25.6 inch
132,25.6 inch
133,25.6 inch
134,50 pound
135,20.0 centimetre
136,2.9 centimetre
137,18.5 centimetre
138,29.95 centimetre
139,100 millimetre
140,11.5 millimetre
141,14 centimetre
142,35 inch
143,35 inch
144,10 centimetre
145,90 centimetre
146,10 centimetre
147,25.13 millilitre
148,50 centimetre
149,50 centimetre
150,104 gram
151,90 centimetre
152,3.14 inch
153,7.86 inch
154,10 centimetre
155,5 centimetre
156,35 millimetre
157,36.2 inch
158,30.3 inch
159,2.31 pound
160,25 centimetre
161,
162,82 centimetre
163,76 inch
164,250 gram
165,24 volt
166,
167,6 kilogram
168,10.5 centimetre
169,10.5 centimetre
170,
171,33.1 inch
172,31 ounce
173,1.1 inch
174,7.8 inch
175,14 centimetre
176,36035 gram
177,0.79 inch
178,20 pound
179,1.1 inch
180,1.1 inch
181,32 ounce
182,74.5 centimetre
183,1800 watt
184,120 volt
185,
186,5.08 centimetre
187,2.83 inch
188,2.7 inch
189,2.7 inch
190,0.35 ounce
191,61 centimetre
192,40 centimetre
193,6.2 pound
194,20 centimetre
195,27.4 centimetre
196,33.3 centimetre
197,40 pound
198,33 gram
199,16.021188 kilogram
200,37.5 centimetre
201,37.5 centimetre
202,37.5 centimetre
203,7.4 inch
204,7.4 inch
205,1700 watt
206,
207,11 inch
208,226 gram
209,11.8 kilogram
210,85.7 millimetre
211,3.5 gram
212,75 centimetre
213,5 volt
214,30 centimetre
215,60 centimetre
216,12 volt
217,
218,
219,
220,1.1 inch
221,8.1 inch
222,43.18 centimetre
223,50.7 pound
224,200 centimetre
225,3 foot
226,8.5 centimetre
227,4 ounce
228,37 pound
229,1500 watt
230,120 volt
231,23.5 centimetre
232,
233,70 centimetre
234,70 centimetre
235,42.1 inch
236,36.5 centimetre
237,183 centimetre
238,183 centimetre
239,31.5 centimetre
240,60 centimetre
241,180 centimetre
242,7 centimetre
243,7 centimetre
244,3.3 inch
245,7.6 centimetre
246,7.6 centimetre
247,27.76 inch
248,35 centimetre
249,4.6 inch
250,2.32 inch
251,65 centimetre
252,120.0 gram
253,1.05 fluid ounce
254,55 centimetre
255,16 centimetre
256,16 centimetre
257,16 centimetre
258,205 centimetre
259,205 centimetre
260,135 pound
261,135 pound
262,38.5 centimetre
263,18.5 inch
264,39 inch
265,2.55 inch
266,2.3 inch
267,11.6 inch
268,20 centimetre
269,8 centimetre
270,2.75 inch
271,2.75 inch
